location,lat,lon,artist_count
Q852684,33.953333333,-84.540555555,8
Q19660,44.4,26.083333333,71
Q35765,34.693611111,135.501944444,80
Q214773,60.402777777,25.029166666,1
Q34692,17.971388888,-76.793055555,68
Q1537,44.5,-89.5,69
Q54343,59.516666666,17.916666666,2
Q28271,38.973055555,-76.501111111,2
Q987133,46.985833333,-123.597777777,2
Q912952,65.358333333,27.0,1
Q1776967,51.65,-1.05,1
Q1001243,50.03994,18.39472,1
Q82765,53.78,20.494166666,9
Q486868,34.060833333,-117.755833333,10
Q1007106,50.43216,-3.68391,3
Q5818,37.883333333,-4.766666666,10
Q2765,51.516666666,7.1,9
Q6855,47.615555555,7.661388888,2
Q1904,50.0,-85.0,22
Q142,47.0,2.0,70
Q7025,51.08,6.315555555,1
Q499425,59.516666666,17.9,1
Q13137,42.658852777,13.703911111,3
Q1186442,40.094722222,-75.378055555,1
Q909146,51.185,-0.61,1
Q21197,47.005555555,28.8575,18
Q3874,50.583333333,8.666666666,10
Q9920,52.380277777,4.640555555,17
Q484678,37.870277777,-122.268055555,38
Q3963,50.552777777,9.6775,7
Q23556,33.756944444,-84.390277777,226
Q155984,50.650555555,11.354166666,4
Q33,65.0,27.0,53
Q109483,63.11152,7.73198,6
Q126269,52.584167,-2.125278,19
Q151993,51.5,7.5,3
Q669037,21.98333333,-79.03333333,1
Q752671,33.641666666,-117.690833333,2
Q503312,50.0,9.2,1
Q57278,-32.916666666,151.75,13
Q62212,40.711191666,-73.762486111,2
Q1698870,59.811199,10.800041666,5
Q48256,48.45,34.983333333,30
Q656185,40.747777777,-74.258888888,1
Q27587,58.845,5.829444,4
Q3879,54.071388888,9.99,1
Q990999,60.14,11.175277777,6
Q42308,50.0,36.229166666,82
Q803,52.088888888,5.115555555,25
Q47952,53.482777777,-2.293055555,10
Q1085,50.083333333,14.416666666,374
Q16,56.0,-109.0,44
Q2805,51.333333333,6.566666666,16
Q7880,43.604444444,1.443888888,27
Q16568,30.316666666,-81.65,60
Q194073,62.0,28.0,2
Q47034,60.21,24.66,19
Q1724,49.233333333,7.0,14
Q12439,42.331666666,-83.0475,209
Q23276,51.25,-0.416666666,16
Q2507175,30.36917,-90.07778,2
Q192240,52.233333333,-0.9,21
Q20,65.0,11.0,50
Q829842,60.816666666,23.616666666,3
Q135615,37.195,-93.286111111,7
Q17943,32.705033,-97.122839,10
Q203619,65.7336354,24.5634156,9
Q485176,34.156111111,-118.131944444,16
Q305029,51.4452,-0.0207,3
Q49218,43.165555555,-77.611388888,37
Q15649,41.3932274,2.009708,1
Q1741,48.20833,16.373064,393
